## MISSING DECISION ;;;;;;;;;;;;;;x
invasion_of_ecuador_title;Invasion of Ecuador;;;;;;;;;;;;;x
new_deal_desc;New Deal Description - dummy;;;;;;;;;;;;;x
## MISSING EVENT MODIFIER ;;;;;;;;;;;;;;x
surprise_attack;Surprise Attack - Pearl Harbour;;;;;;;;;;;;;x
building_atlantikwall;Building the Atlantik Wall;;;;;;;;;;;;;x
dunkerque_siege;Dunkerque Siege;;;;;;;;;;;;;x
navalattack_hendersonfield_lost;Navalattack Hendersonfield Lost;;;;;;;;;;;;;x
midway_battle_lost;Midway Battle Lost ;;;;;;;;;;;;;x
sanmarino_battle_lost;Sanmarino Battle Lost ;;;;;;;;;;;;;x
calais_battle_won;Calais Battle Won;;;;;;;;;;;;;x
midway_battle_won;Midway Battle Won;;;;;;;;;;;;;x
great_patriotic_war;Great POatriotic War;;;;;;;;;;;;;x
## MISSING TRIGGERED MODIFIER ;;;;;;;;;;;;;;x
early_war_of_the_atlantic;early_war_of_the_atlantic;;;;;;;;;;;;;x
mid_war_of_the_atlantic;mid_war_of_the_atlantic;;;;;;;;;;;;;x
soviet_ream;soviet_ream;;;;;;;;;;;;;x
soviet_great_patriotic_war;soviet_great_patriotic_war;;;;;;;;;;;;;x
soviet_defense;soviet_defense;;;;;;;;;;;;;x
soviet_defense_1;soviet_defense_1;;;;;;;;;;;;;x
soviet_defense_2;soviet_defense_2;;;;;;;;;;;;;x
soviet_defense_3;soviet_defense_3;;;;;;;;;;;;;x
soviet_supply;soviet_supply;;;;;;;;;;;;;x
uk_defense_1;uk_defense_1;;;;;;;;;;;;;x
nationalist_spain;nationalist_spain;;;;;;;;;;;;;x
republican_spain;republican_spain;;;;;;;;;;;;;x
france_high_command;france_high_command;;;;;;;;;;;;;x
italy_high_command;italy_high_command;;;;;;;;;;;;;x
switzerland_bunkers;switzerland_bunkers;;;;;;;;;;;;;x
arsenal_of_democracy;arsenal_of_democracy;;;;;;;;;;;;;x
non_intervention_USA;non_intervention_USA;;;;;;;;;;;;;x
intervention_USA;intervention_USA;;;;;;;;;;;;;x
japan_buff;japan_buff;;;;;;;;;;;;;x
soviet_german_agreement_39;soviet_german_agreement_39;;;;;;;;;;;;;x
soviet_german_agreement_40;soviet_german_agreement_40;;;;;;;;;;;;;x
soviet_german_agreement_41;soviet_german_agreement_41;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
grossdeutschland_type;Groﬂdeutschland;;;;;;;;;;;;;x
fallschirmjager_panzer_type;Fallschirm-Panzer;;;;;;;;;;;;;x
panzer_lehr_type;Panzer-Lehr;;;;;;;;;;;;;x